game_date,team_home,team_away,most_common_total_line,average_total_line,most_common_moneyline_home,average_moneyline_home,most_common_moneyline_away,average_moneyline_away,most_common_spread_home,average_spread_home,most_common_spread_away,average_spread_away,average_total_over_money,average_total_under_money,most_common_total_over_money,most_common_total_under_money,season_year
2026-01-08 00:00:00+00:00,Detroit Pistons,CHI Bulls,227.4999,218.6922,330.0001,264.4639,-264.9999,156.2144,8.0001,6.4232,-7.9999,-6.423,2.0703,2.1222,2.1,2.1,2025
2026-01-08 00:00:00+00:00,Philadelphia 76ers,Washington Wizards,234.4999,225.6922,825.0001,1422.6508,-573.9999,-120.6428,16.0001,12.5001,-15.9999,-12.4999,2.0777,2.1099,2.1,2.1,2025
2026-01-08 00:00:00+00:00,Boston Celtics,Denver Nuggets,230.4999,221.6153,375.0001,770.5715,-299.9999,470.6429,10.0001,7.6429,-9.9999,-7.6428,2.0755,2.1143,2.1,2.1,2025
2026-01-08 00:00:00+00:00,CHA Hornets,Toronto Raptors,229.4999,220.5768,-119.9999,262.5001,140.0001,816.3987,-2.4999,-1.1785,2.5001,1.1787,2.0669,2.1297,2.1,2.1,2025
2026-01-07 04:00:00+00:00,SAC Kings,DAL Mavericks,233.4999,224.4999,-159.9999,-107.3845,190.0001,129.2531,-4.9999,-3.9999,5.0001,4.0001,2.1186,2.0602,2.1,2.1,2025
2026-01-07 01:00:00+00:00,New Orleans Pelicans,Los Angeles Lakers,244.4999,244.3749,-189.9999,-129.6922,225.0001,156.7047,-5.4999,-3.6153,5.5001,3.6155,2.1113,2.0603,2.15,2.05,2025
2026-01-07 01:00:00+00:00,Memphis Grizzlies,San Antonio Spurs,237.4999,229.0384,-194.9999,-167.6922,235.0001,209.2401,-5.9999,-4.8845,6.0001,4.8847,2.0571,2.0894,2.1,2.1,2025
2026-01-07 01:00:00+00:00,Minnesota Timberwolves,Miami Heat,237.9999,228.4166,200.0001,165.6593,-169.9999,-141.7691,5.5001,4.577,-5.4999,-4.5768,2.1264,2.0729,2.1,2.1,2025
2026-01-07 00:00:00+00:00,Indiana Pacers,Cleveland Cavaliers,236.4999,227.4614,-199.9999,-167.923,240.0001,200.777,-6.4999,-4.2307,6.5001,4.2308,2.0393,2.0808,2.1,2.1,2025
2026-01-07 00:00:00+00:00,WAS Wizards,Orlando Magic,234.9999,226.1153,-244.9999,-199.7691,285.0001,239.4932,-7.4999,-4.9999,7.5001,5.0001,2.097,2.0311,2.1,2.1,2025
2026-01-06 00:00:00+00:00,Detroit Pistons,New York Knicks,232.9999,232.6249,-99.9999,-62.8461,126.0001,92.4293,-1.4999,-0.7307,1.5001,0.7308,10.3341,10.3149,2.1,2.1,2025
2026-01-05 02:30:00+00:00,LA Lakers,MEM Grizzlies,238.4999,227.4999,225.0001,189.1201,-188.9999,-156.6922,6.0001,4.6924,-5.9999,-4.6922,2.0996,2.0805,2.1,2.1,2025
2026-01-05 02:00:00+00:00,SAC Kings,MIL Bucks,227.4999,219.0384,-199.9999,-138.0769,240.0001,164.777,-6.4999,-4.5769,6.5001,4.577,2.0806,2.0543,2.1,2.1,2025
2026-01-05 01:00:00+00:00,PHO Suns,Oklahoma City Thunder,229.4999,219.0908,-315.9999,-273.6153,400.0001,351.1785,-10.4999,-9.0832,10.5001,9.0834,2.0495,2.1318,2.1,2.1,2025
2026-01-04 23:00:00+00:00,WAS Wizards,MIN Timberwolves,239.9999,208.6249,5.0,51.3077,-10.0,-68.3609,1.0,2.5555,-1.0,-2.5556,1.9407,1.9426,1.9091,1.9091,2025
2026-01-04 23:00:00+00:00,MIA Heat,NO Pelicans,247.9999,246.4999,20.0,-15.6364,-15.0,13.2308,0.5,-3.3334,-0.5,3.3333,1.9729,1.9561,2.0753,2.0309,2025
