SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,SEASON_TYPE,HOME,TEAM_CITY,teamSlug,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,E_TM_TOV_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,SEASON_YEAR
22025,1610612757,POR,Portland Trail Blazers,0022500431,2025-12-26,POR vs. LAC,L,240,103,36,80,0.45,16,39,0.41,15,22,0.682,13,30,43,23,6,2,15,20,-16.0,Regular Season,True,Portland,blazers,559.8,112.0,661.1,132.2,-101.3,-20.3,0.639,1.53,17.7,0.362,0.857,0.573,16.304,16.3,0.55,0.574,1.0,0.981,18.2,91.0,75.83,92.0,0.428,2025
22025,1610612753,ORL,Orlando Magic,0022500424,2025-12-26,ORL vs. CHA,L,239,105,37,93,0.398,11,35,0.314,20,23,0.87,16,26,42,22,7,7,9,25,-15.0,Regular Season,True,Orlando,magic,535.7,107.1,618.6,123.7,-82.8,-16.6,0.595,2.44,16.1,0.317,0.58,0.436,9.184,9.2,0.457,0.509,1.0,0.974,19.5,97.5,81.25,98.0,0.428,2025
22025,1610612765,DET,Detroit Pistons,0022500430,2025-12-26,DET @ UTA,L,240,129,48,92,0.522,18,37,0.486,15,23,0.652,10,31,41,38,11,10,17,23,-2.0,Regular Season,False,Detroit,pistons,608.5,121.7,623.8,124.8,-15.3,-3.1,0.792,2.24,23.9,0.354,0.674,0.511,16.038,16.0,0.62,0.632,1.0,0.983,21.1,105.5,87.92,106.0,0.489,2025
22025,1610612761,TOR,Toronto Raptors,0022500425,2025-12-26,TOR @ WAS,L,241,117,40,91,0.44,12,36,0.333,25,27,0.926,8,25,33,26,10,5,11,16,-21.0,Regular Season,False,Toronto,raptors,562.5,112.5,669.9,134.0,-107.4,-21.5,0.65,2.36,18.4,0.231,0.684,0.422,10.577,10.6,0.505,0.569,1.0,0.983,20.7,103.5,86.25,104.0,0.425,2025
22025,1610612748,MIA,Miami Heat,0022500423,2025-12-26,MIA @ ATL,W,241,126,49,104,0.471,11,36,0.306,17,18,0.944,13,39,52,29,14,2,10,16,15.0,Regular Season,False,Miami,heat,567.6,113.5,504.5,100.9,63.0,12.6,0.592,2.42,18.6,0.286,0.87,0.549,10.811,10.8,0.524,0.563,1.0,0.961,22.1,110.5,92.08,111.0,0.566,2025
22025,1610612740,NOP,New Orleans Pelicans,0022500429,2025-12-26,NOP vs. PHX,L,240,108,39,88,0.443,5,25,0.2,25,42,0.595,12,26,38,22,10,2,12,22,-7.0,Regular Season,True,New Orleans,pelicans,524.3,104.9,558.3,111.7,-34.0,-6.8,0.564,1.83,15.3,0.333,0.592,0.453,11.65,11.7,0.472,0.507,1.0,0.975,20.6,103.0,85.83,103.0,0.427,2025
22025,1610612754,IND,Indiana Pacers,0022500426,2025-12-26,IND vs. BOS,L,240,122,44,89,0.494,18,44,0.409,16,20,0.8,11,24,35,29,6,3,14,28,-18.0,Regular Season,True,Indiana,pacers,592.2,118.4,686.3,137.3,-94.0,-18.8,0.659,2.07,19.9,0.298,0.675,0.471,13.592,13.6,0.596,0.624,1.0,0.966,20.5,102.5,85.42,103.0,0.423,2025
22025,1610612755,PHI,Philadelphia 76ers,0022500427,2025-12-26,PHI @ CHI,L,240,102,35,93,0.376,11,39,0.282,21,24,0.875,13,33,46,22,7,4,8,20,-7.0,Regular Season,False,Philadelphia,sixers,525.8,105.2,550.5,110.1,-24.7,-4.9,0.629,2.44,16.3,0.276,0.712,0.482,9.278,9.3,0.435,0.492,1.0,0.991,19.6,98.0,81.67,97.0,0.433,2025
22025,1610612762,UTA,Utah Jazz,0022500430,2025-12-26,UTA vs. DET,W,239,131,44,90,0.489,18,38,0.474,25,26,0.962,13,29,42,35,12,8,17,20,2.0,Regular Season,True,Utah,jazz,623.8,124.8,608.5,121.7,15.3,3.1,0.795,1.94,22.6,0.326,0.646,0.489,17.143,17.1,0.589,0.646,1.0,0.983,21.1,105.5,87.92,105.0,0.511,2025
22025,1610612746,LAC,LA Clippers,0022500431,2025-12-26,LAC @ POR,W,240,119,35,69,0.507,20,40,0.5,29,31,0.935,4,28,32,21,6,5,12,18,16.0,Regular Season,False,LA,clippers,661.1,132.2,559.8,112.0,101.3,20.3,0.6,1.62,18.1,0.143,0.638,0.427,14.444,14.4,0.652,0.72,1.0,0.989,18.2,91.0,75.83,90.0,0.572,2025
